label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|notes
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|code|0|89.5|194|127|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|prefill|1209.3|0|858|1|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|decode|0|80.9|33|128|thinking_leaked=375
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|echo|0|66.5|148|82|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|code|0|76.0|200|128|thinking_leaked=375
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|prefill|175.0|0|855|1|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|decode|0|21.3|31|128|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|echo|0|18.1|147|88|
gemma4-31b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|none|code|0|16.7|198|128|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|prefill|154.4|0|855|1|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|decode|0|17.3|30|128|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|echo|0|21.8|147|89|
gemma4-31b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|pld|code|0|16.6|198|128|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|prefill|157.0|0|855|1|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|decode|0|19.2|31|128|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|echo|0|19.7|146|90|
gemma4-31b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-31b-it-4bit|drafter|code|0|19.3|197|131|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|prefill|177.4|0|855|1|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|decode|0|21.6|31|127|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|echo|0|18.2|147|89|
gemma4-31b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-31b-it@4bit|none|code|0|18.6|198|127|
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|prefill|177.1|0|858|1|
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|decode|0|19.9|34|128|thinking_leaked=375
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|echo|0|17.9|149|128|thinking_leaked=375
gemma4-31b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-31b|none|code|0|16.8|201|128|thinking_leaked=375
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|prefill|1240.7|0|853|1|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|decode|0|106.7|30|128|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|echo|0|89.5|146|88|
gemma4-26b-a4b-moe-4bit/mlx-serve/none|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|none|code|0|95.7|198|128|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|prefill|1222.3|0|855|1|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|decode|0|95.4|31|128|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|echo|0|127.6|147|89|
gemma4-26b-a4b-moe-4bit/mlx-serve/pld|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|pld|code|0|90.8|198|128|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|prefill|1065.5|0|854|1|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|decode|0|85.8|31|128|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|echo|0|59.3|147|90|
gemma4-26b-a4b-moe-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-26b-a4b-it-4bit|drafter|code|0|66.2|198|128|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|prefill|1137.0|0|855|1|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|decode|0|81.4|31|128|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|echo|0|72.0|146|89|
gemma4-26b-a4b-moe-4bit/lmstudio-baseline/none|lmstudio|gemma-4-26b-a4b-it|none|code|0|77.8|198|128|
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|prefill|1152.5|0|858|1|
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|decode|0|80.2|32|128|thinking_leaked=375
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|echo|0|76.8|149|128|thinking_leaked=375
gemma4-26b-a4b-moe-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-26b-a4b|none|code|0|77.2|201|128|thinking_leaked=375
