label,spec,tier,model,family,use_case,temp,top_p,top_k,decode_tps,prefill_tps,ttft_s,prompt_toks,completion_toks
opt,off,small,Gemma 4 E4B (4-bit),gemma,creative,1.0,0.95,64,133.7,1707,0.021,36,256
opt,off,small,Qwen3-4B (4-bit),qwen3,coding,0.6,0.95,20,180.8,3016,0.015,46,256
opt,off,small,Qwen3-4B (4-bit),qwen3,math,0.6,0.95,20,180.4,4975,0.015,76,256
opt,off,small,Qwen3-4B (4-bit),qwen3,reasoning,0.6,0.95,20,180.4,5181,0.015,79,256
opt,off,small,Qwen3-4B (4-bit),qwen3,tools,0.6,0.95,20,175.2,14825,0.035,381,72
opt,off,small,Qwen3-4B (4-bit),qwen3,creative,0.7,0.8,20,180.9,2709,0.015,40,256
baseline,default,B1,"Qwen3-32B (8-bit, production)",qwen3,coding,0.6,0.95,20,15.3,238,0.193,46,256
baseline,default,B1,"Qwen3-32B (8-bit, production)",qwen3,math,0.6,0.95,20,15.3,392,0.194,76,256
baseline,default,B1,"Qwen3-32B (8-bit, production)",qwen3,reasoning,0.6,0.95,20,15.3,409,0.193,79,256
baseline,default,B1,"Qwen3-32B (8-bit, production)",qwen3,tools,0.6,0.95,20,13.3,2754,0.139,382,68
baseline,default,B1,"Qwen3-32B (8-bit, production)",qwen3,creative,0.7,0.8,20,15.3,207,0.193,40,256
baseline,default,B1,Qwen3-32B (4-bit),qwen3,coding,0.6,0.95,20,28.1,440,0.105,46,256
baseline,default,B1,Qwen3-32B (4-bit),qwen3,math,0.6,0.95,20,28.1,726,0.105,76,256
baseline,default,B1,Qwen3-32B (4-bit),qwen3,reasoning,0.6,0.95,20,28.0,754,0.105,79,256
baseline,default,B1,Qwen3-32B (4-bit),qwen3,tools,0.6,0.95,20,23.9,4948,0.077,382,58
baseline,default,B1,Qwen3-32B (4-bit),qwen3,creative,0.7,0.8,20,28.1,382,0.105,40,256
baseline,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,coding,0.7,0.8,20,148.4,1966,0.021,42,256
baseline,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,math,0.7,0.8,20,147.5,3322,0.022,72,256
baseline,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,reasoning,0.7,0.8,20,147.6,3486,0.022,75,256
baseline,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,tools,0.7,0.8,20,108.0,23714,0.017,398,47
baseline,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,creative,0.7,0.8,20,148.0,1670,0.022,36,256
